County,Healthcare Access Index | Antenatal Care Access,Healthcare Access Index | Skilled Delivery,Healthcare Access Index | Postnatal Care,Healthcare Access Index | Geographic Barriers (5km / 30-min Standard),Healthcare Access Index | Financial Barriers (Insurance & OOP),Healthcare Access Index | Health Insurance Coverage,Healthcare Access Index | Tracer Item Utilisation (HRH Proxy),Healthcare Access Index,Population Vulnerability Index | Socioeconomic Deprivation,Population Vulnerability Index | WASH Deficits,Population Vulnerability Index | Demographic Vulnerability,Population Vulnerability Index,Immunization Coverage Index | EPI Routine Vaccines,Immunization Coverage Index | Vaccination Completion,Immunization Coverage Index,Disease Burden Index | Child Nutrition,Disease Burden Index | Infectious Disease Burden,Disease Burden Index,UCS,Cluster,Cluster_label,HDBSCAN_Cluster,Anomaly,Anomaly_score,Predicted_Anomaly,Predicted_Anomaly_label
Baringo,-0.2913353034754273,0.6035237571571337,-0.32109102122120836,0.8218370855405968,0.8814699628107943,-0.2851057889208803,0.2561333176008688,0.23791885849883965,0.18548250002248673,0.7273771515511209,-0.2402237726986571,0.2242119596249835,-0.39213050411733064,0.4093327292836242,0.008601112583146775,0.6128141799416434,-0.4731880620645896,0.06981305893852693,66.08247809904711,1,"Cluster 2: Moderately Served — Central, Rift Valley and Urban Counties",-1,Normal,0.16676553032000901,0,Normal
Bomet,-0.1812127285988703,0.09388826216290992,-0.23163625538841687,-0.6575115789499212,-0.9010632766858304,-0.026419069243633523,1.088922560251255,-0.11643315520750105,-0.43178661923706546,0.5091971641385828,-0.4334841854005816,-0.11869121349968807,-0.4424344400533607,0.27224196392836736,-0.08509623806249667,-0.03766215832986264,-0.41226021505682575,-0.2249611866933442,49.78886533087431,1,"Cluster 2: Moderately Served — Central, Rift Valley and Urban Counties",-1,Normal,0.1302962859034439,0,Normal
Bungoma,0.6767985766952201,-0.27762345551433026,0.8281039485183466,-0.34906890035029425,0.43987562553368464,-0.2398356129773624,0.8435471583989089,0.2745424771863105,-0.4661217336993656,0.41569145524749523,-0.5390424196480978,-0.1964908993666561,-0.511521857745638,0.5176801319488963,0.003079137101629159,-0.036564883631546384,0.8432740095331379,0.40335456295079575,62.2350968412788,1,"Cluster 2: Moderately Served — Central, Rift Valley and Urban Counties",-1,Normal,0.13754963152869842,0,Normal
Busia,0.24351734049043486,-0.18792942514049404,-0.8449703480167411,-0.2714420756466412,-0.475624829796908,0.10292429059498986,0.6279142294983626,-0.11508725971671388,-0.300106764593935,0.6598452506853355,-0.2244955308827044,0.04508098506956537,-0.41282279381826925,0.3169187681867748,-0.047952012815747236,-0.38456529439628573,0.5666484898808026,0.09104159774225845,56.461331833337894,1,"Cluster 2: Moderately Served — Central, Rift Valley and Urban Counties",-1,Normal,0.157638705830014,0,Normal
Elgeyo Marakwet,-0.4430970601358278,-0.4039692350714699,-0.7854213860337579,-0.7174305608602563,-1.520372408232996,-1.2745824916863495,0.5312511924050142,-0.6590888499450919,-0.38273014610881195,0.7169876283409999,0.09169684690074947,0.1419847763776458,0.07795841958117257,-0.06867051776904613,0.004643950906063218,0.35640216958416154,-0.6644753465753243,-0.15403658849558136,45.845695057844765,1,"Cluster 2: Moderately Served — Central, Rift Valley and Urban Counties",-1,Normal,0.13482284846397308,0,Normal
Embu,0.10077829241509532,-1.2943375320593267,-1.2325826044103885,-0.4715346010397376,-1.2834193492062544,-1.3651228435733858,-1.5209794412691515,-1.0095997255918785,-0.6109367928602467,0.026084334867963077,0.7277492130604986,0.04763225168940499,-0.6284516288560339,0.597347339791008,-0.015552144532512968,-0.26276656924296105,-0.9498438278355004,-0.6063051985392307,32.728165788150584,1,"Cluster 2: Moderately Served — Central, Rift Valley and Urban Counties",-1,Normal,0.05822151630957656,0,Normal
Garissa,-2.669203834004859,1.2512837047372933,2.340132583795454,0.934244281189381,0.9137817435871678,2.1142135360855834,-2.264541265064139,0.37427296433226875,0.6512070032526645,0.6962085819207587,-0.9399908324336904,0.1358082509132443,4.185152330450561,-4.100034687338127,0.04255882155621693,-0.4999780086524646,-0.58930607642393,-0.5446420425381973,60.094706986344846,0,Cluster 1: Structurally Underserved — ASAL and Remote Counties,-1,Normal,0.12246495923737266,0,Normal
Homa Bay,-0.1230607919701565,-0.08252491363632089,0.02152663855508123,0.2835047956736532,1.0053317891202271,-0.4015148127756416,0.665092320688112,0.19547928937927925,0.10569955125602684,0.6546504890802747,0.5816125569333003,0.44732086575653396,-0.07211237837427964,0.122530781052022,0.02520920133887118,-0.6373073224932239,2.1843427159183624,0.7735176967125692,77.36456183036245,1,"Cluster 2: Moderately Served — Central, Rift Valley and Urban Counties",-1,Normal,0.12781425881971215,0,Normal
Isiolo,0.1983420704394845,0.2763364664497825,0.12985090850957823,-0.13491183312951283,0.030593069032949054,1.3187518730780496,-0.3684586143869208,0.20721484857048716,0.5819317079827255,-0.08820042044336651,-0.4626306570455273,0.010366876831277239,0.5108565602523957,-0.1802677766148272,0.16529439181878425,-0.10241675216545033,0.48423889909739437,0.19091107346597203,62.72740319723879,1,"Cluster 2: Moderately Served — Central, Rift Valley and Urban Counties",-1,Normal,0.0008401392577906952,0,Normal
Kajiado,0.6505540172190288,-0.0408888968434136,-0.3830132729525645,-0.2178383444565121,-0.012489305335549272,-0.5437925085981271,0.06280724341417207,-0.06923729536470936,-0.37696619967966905,-2.3063636258041695,-1.2811962211366321,-1.3215086822068236,0.44234699531823635,-0.404585366751484,0.01888081428337618,-0.7636246306558488,0.020757380268343246,-0.3714336251937528,25.705511417990028,1,"Cluster 2: Moderately Served — Central, Rift Valley and Urban Counties",-1,Normal,0.07139217869386372,0,Normal
Kakamega,0.6750921289716729,-0.7317735828144292,0.5658580852212661,-0.3010440791456834,0.49372859349430775,-0.4920551646626779,0.6948347936399114,0.12923439638633824,-0.29801224728807213,0.40530193203737425,0.18901394979798464,0.09876787818242892,-0.6723620827680407,0.597347339791008,-0.03750737148851635,-1.0290131211405047,0.10047754481395559,-0.4642677881632746,55.824646189302754,1,"Cluster 2: Moderately Served — Central, Rift Valley and Urban Counties",-1,Normal,0.16145667201824815,0,Normal
Kericho,-0.2519373236805892,-0.3847476413917979,0.6393788147576815,-1.0370361488225432,-1.795022544832174,-0.22690127699349988,-2.621450940485733,-0.8111024373498079,-0.6426140520391775,0.2286800374653201,-0.20074120947117746,-0.20489174134834498,-0.02461523382620303,0.07368695800484298,0.024535862089319977,-0.437918784657742,-0.2385784628219704,-0.3382486237398562,34.35375647436484,1,"Cluster 2: Moderately Served — Central, Rift Valley and Urban Counties",-1,Normal,0.0978039118407486,0,Normal
Kiambu,0.3851432141845,-0.9051508446742582,-0.9013287701505216,-0.8976907028554318,-1.138016335712572,-1.0223629400010334,0.6056073747845129,-0.553399857774972,-0.7598232666911753,-2.5972702756875536,-0.38683936177507294,-1.2479776347179339,-0.4313376131898171,0.5049333786941581,0.0367978827521705,-0.17290845233868143,1.104112493599279,0.46560202063029876,27.576138616163004,1,"Cluster 2: Moderately Served — Central, Rift Valley and Urban Counties",-1,Normal,0.0036615230617916827,0,Normal
Kilifi,0.24941535622305747,0.06394126658100868,-0.5370516797213774,0.1068619372147723,-0.3194512227111011,0.4327498581834796,-0.42794356029051983,-0.06163972064581146,0.5980729916947156,0.09881099733880938,-0.33554325082850084,0.12044691273500806,-0.4753766293471572,0.5686671449678475,0.046645257810345175,1.8515984211025487,2.0526768840932235,1.952137652597886,79.30717718759944,1,"Cluster 2: Moderately Served — Central, Rift Valley and Urban Counties",-1,Anomaly,-0.0012602088866860983,1,Anomaly
Kirinyaga,0.7702382230385387,-0.9665081201266602,-1.2259061945515164,-0.806865716996305,-0.997998619014952,-0.8865524121704793,-0.04129141191712635,-0.5935548931055001,-0.7019771683672063,-0.8362460915720682,0.975266215812658,-0.18765234804220546,-0.4939911496477544,0.48899993712573586,-0.002495606261009281,-0.5902894517199968,-0.840966134108174,-0.7156277929140854,34.47242687355126,1,"Cluster 2: Moderately Served — Central, Rift Valley and Urban Counties",-1,Normal,0.12549017136212548,0,Normal
Kisii,-0.18786062990674013,-0.21629016641283258,-0.8272528504883611,-0.030901033797918614,0.09521663058569692,-0.699004540404475,0.9699526684440568,-0.12801998885436763,-0.23241756591779303,0.12478480536411152,-0.2146812139033205,-0.10743799148566735,-0.4862768382261941,0.5004341143349051,0.007078638054355518,-0.17303587765821465,-0.8266051019043449,-0.4998204897812798,46.797013177370275,1,"Cluster 2: Moderately Served — Central, Rift Valley and Urban Counties",-1,Normal,0.17517991829930263,0,Normal
Kisumu,0.09779857665284272,-0.36672150238508355,-0.8547916181010541,0.6688366914853557,2.2439500522145583,-0.18809826904191276,-0.5766559250495173,0.14633114368216987,-0.5569566345161808,-0.14534279809903092,-0.4562061088050314,-0.3861685138067477,-0.29736448084167616,0.22131811877624077,-0.03802318103271769,-0.7942378901562526,-0.6196503908676133,-0.706944140511933,44.06108691163878,1,"Cluster 2: Moderately Served — Central, Rift Valley and Urban Counties",-1,Normal,0.10699539877686992,0,Normal
Kitui,0.3007723742763643,0.42954829721619986,-0.10296285200500259,0.6814520244967139,0.8168464012580463,-0.4209163167514349,-0.6063983980013168,0.15690593292708144,0.47435794449321145,0.36374383919689096,1.3645212632475385,0.734207682312547,0.5061893274717502,-0.48854592911601713,0.008821699177866515,0.9715736116584099,-0.32597441277365236,0.3227995994423788,77.292033821526,1,"Cluster 2: Moderately Served — Central, Rift Valley and Urban Counties",-1,Normal,0.13825168152168515,0,Normal
Kwale,-0.004873917088272047,-0.4286718485221894,-0.6918559889780266,0.30410647209234115,1.9316028380429446,1.137671169303977,-2.398382393347237,-0.021486238356637433,0.4450425668270626,0.33257526956652866,-0.371964164795455,0.13521789053271208,-0.0076613670080591095,-0.18772443863569954,-0.09769290282187933,0.6436684532227747,-1.4534031613243854,-0.4048673540508054,54.45547044063296,1,"Cluster 2: Moderately Served — Central, Rift Valley and Urban Counties",-1,Normal,0.11071435308415595,0,Normal
Laikipia,0.2435076745753774,-0.8797744860023887,0.1734424797916659,-0.36908646569531073,-1.1649428196928837,-0.5696611805658517,1.0591800872994552,-0.21533353004141947,-0.34157870927849904,-0.4206651631672335,0.3562999686311552,-0.13531463460485912,-0.159974965703514,0.16468538813770803,0.002355211217097017,-0.7921273895911776,-0.6504301700853524,-0.7212787798382649,42.25166566226316,1,"Cluster 2: Moderately Served — Central, Rift Valley and Urban Counties",-1,Normal,0.1548065355919544,0,Normal
Lamu,0.19372047106855797,-0.0606129384505393,-0.7027498274695835,-0.2736626176557337,-0.29252473873078955,0.646166401917208,0.3304894999803676,-0.02273910704864465,-0.3491213939600469,0.3221857463564077,-0.5740141604662783,-0.2003166026899725,-0.2521509489973286,0.010996690073065599,-0.1205771294621315,-0.22576112215590524,2.282855198001823,1.0285470379229589,63.63465561727233,1,"Cluster 2: Moderately Served — Central, Rift Valley and Urban Counties",-1,Normal,0.03903256239975772,0,Normal
